Step,BLOB_EnsembleEnsemble_BLOB_branin_20250514_214108 - best_value,CSV_VBLL_branin_dense_precision_multirank_20250514_213042 - best_value,CSV_BLOB_branin_20250514_201819 - best_value,CSV_VBLL_branin_dense_precision_multirank_20250514_184208 - best_value,CSV_BLOB_branin_20250514_182545 - best_value,branin_mlp_20250514_182027 - best_value,branin_mlp_20250514_181650 - best_value,DeepEnsemble_branin_std_20250514_153152 - best_value,DeepEnsemble_branin_std_20250514_150500 - best_value,BLOB_EnsembleEnsemble_BLOB_branin_20250514_123208 - best_value,CSV_BLOB_branin_20250514_121019 - best_value
0,149.3153433,230.9423802,386.5536804,324.2542007,156.6076351,127.2809392,320.4312968,230.9423802,327.679326,330.8945017,312.2047047
1,,156.3181337,267.8624274,161.2946782,156.6076351,115.6594223,166.141919,195.179544,271.1462692,,286.8214987
2,149.3153433,156.3181337,203.6797036,159.0014723,156.6076351,110.1073731,166.141919,176.456214,146.8994226,164.9558298,234.8131892
3,,156.3181337,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,176.456214,146.8994226,,234.8131892
4,146.1323424,156.3181337,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,176.456214,146.8994226,164.9558298,195.3596262
5,,156.3181337,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,174.7200741,146.8994226,,195.3596262
6,146.1323424,130.7436392,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,174.7200741,146.8994226,164.9558298,195.3596262
7,,130.7436392,194.9607378,159.0014723,156.6076351,110.1073731,155.3059199,174.7200741,146.8994226,,195.3596262
8,146.1323424,130.7436392,194.9607378,159.0014723,156.6076351,110.1073731,155.3059199,174.7200741,146.8994226,164.9558298,195.3596262
9,,130.7436392,175.938998,131.7327733,156.6076351,110.1073731,155.3059199,174.7200741,146.8994226,,195.3596262
10,146.1323424,130.7436392,175.938998,131.7327733,141.2248195,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,195.3596262
11,,130.7436392,152.7607234,131.7327733,141.2248195,110.1073731,119.021178,174.7200741,146.8994226,,186.7223899
12,146.1323424,130.7436392,152.7607234,131.7327733,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,186.7223899
13,,130.7436392,145.4595854,124.2263832,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,,186.7223899
14,146.1323424,130.7436392,145.4595854,124.2263832,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,186.7223899
15,,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,,186.7223899
16,146.1323424,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,186.7223899
17,,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,,186.7223899
18,146.1323424,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,164.9558298,186.7223899
19,,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,,186.7223899
20,146.1323424,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,164.9558298,186.7223899
21,,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,,186.7223899
22,130.7436392,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,164.9558298,186.7223899
23,,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,136.8559002,141.9191229,,186.7223899
24,130.7436392,124.7048483,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,136.8559002,141.9191229,164.9558298,186.7223899
25,,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,141.9191229,,186.7223899
26,130.7436392,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,141.9191229,164.9558298,186.7223899
27,,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,141.9191229,,143.1178251
28,130.7436392,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,143.1178251
29,,124.7048483,136.657628,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,143.1178251
30,130.7436392,124.7048483,136.657628,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,143.1178251
31,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
32,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,136.6597927
33,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
34,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,136.6597927
35,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
36,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,136.6597927
37,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
38,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,163.7701147,136.6597927
39,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
40,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,163.7701147,136.6597927
41,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,136.6597927
42,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,163.7701147,136.6597927
43,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
44,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
45,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
46,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
47,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
48,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
49,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
50,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
51,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
52,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
53,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
54,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
55,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
56,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,123.7384923,129.8254836
57,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
58,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,123.7384923,129.8254836
59,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
60,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,123.7384923,129.8254836
61,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
62,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,123.7384923,129.8254836
63,,124.7048483,124.2263832,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
64,,124.7048483,124.2263832,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
65,,124.7048483,124.2263832,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
66,,124.7048483,124.2263832,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
67,,110.1073731,124.2263832,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
68,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
69,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
70,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
71,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
72,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
73,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
74,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
75,,110.1073731,123.2597815,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
76,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
77,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
78,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
79,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
80,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
81,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
82,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
83,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
84,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
85,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
86,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
87,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,129.8254836
88,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,121.0910845,129.8254836
89,,,,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,,,117.1163507
90,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,121.0910845,117.1163507
91,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,,117.1163507
92,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,121.0910845,117.1163507
93,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,,117.1163507
94,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,121.0910845,117.1163507
95,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,,117.1163507
96,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,121.0910845,114.3931939
97,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,,114.3931939
98,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,121.0910845,114.3931939
99,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,,114.3931939
100,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,121.0910845,114.3931939
101,,,,110.9677342,121.1617761,110.1073731,,120.0392213,,,114.3931939
102,,,,110.9677342,,110.1073731,,120.0392213,,121.0910845,114.3931939
103,,,,110.9677342,,110.1073731,,120.0392213,,,114.3931939
104,,,,110.9677342,,110.1073731,,120.0392213,,121.0910845,114.3931939
105,,,,110.9677342,,110.1073731,,120.0392213,,,114.3931939
106,,,,110.9677342,,110.1073731,,120.0392213,,121.0910845,114.3931939
107,,,,110.9677342,,110.1073731,,120.0392213,,,114.3931939
108,,,,110.9677342,,110.1073731,,120.0392213,,121.0910845,114.3931939
109,,,,110.9677342,,110.1073731,,120.0392213,,,114.3931939
110,,,,110.9677342,,110.1073731,,120.0392213,,121.0910845,114.3931939
111,,,,110.9677342,,110.1073731,,120.0392213,,,114.3931939
112,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
113,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
114,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
115,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
116,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
117,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
118,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
119,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
120,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
121,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
122,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
123,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
124,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
125,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
126,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
127,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
128,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
129,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
130,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
131,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
132,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
133,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
134,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
135,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
136,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
137,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
138,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
139,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
140,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
141,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
142,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
143,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
144,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
145,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
146,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
147,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
148,,,,110.9677342,,110.1073731,,113.6021475,,121.0910845,114.3931939
149,,,,110.9677342,,110.1073731,,113.6021475,,,114.3931939
150,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
151,,,,110.9677342,,,,113.6021475,,,114.3931939
152,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
153,,,,110.9677342,,,,113.6021475,,,114.3931939
154,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
155,,,,110.9677342,,,,113.6021475,,,114.3931939
156,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
157,,,,110.9677342,,,,113.6021475,,,114.3931939
158,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
159,,,,110.9677342,,,,113.6021475,,,114.3931939
160,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
161,,,,110.9677342,,,,113.6021475,,,114.3931939
162,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
163,,,,110.9677342,,,,113.6021475,,,114.3931939
164,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
165,,,,110.9677342,,,,113.6021475,,,114.3931939
166,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
167,,,,110.9677342,,,,113.6021475,,,114.3931939
168,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
169,,,,110.9677342,,,,113.6021475,,,114.3931939
170,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
171,,,,110.9677342,,,,113.6021475,,,114.3931939
172,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
173,,,,110.9677342,,,,113.6021475,,,114.3931939
174,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
175,,,,110.9677342,,,,113.6021475,,,114.3931939
176,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
177,,,,110.9677342,,,,113.6021475,,,114.3931939
178,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
179,,,,110.9677342,,,,113.6021475,,,114.3931939
180,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
181,,,,110.9677342,,,,113.6021475,,,114.3931939
182,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
183,,,,110.9677342,,,,113.6021475,,,114.3931939
184,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
185,,,,110.9677342,,,,113.6021475,,,114.3931939
186,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
187,,,,110.9677342,,,,113.6021475,,,114.3931939
188,,,,110.9677342,,,,113.6021475,,121.0910845,114.3931939
189,,,,110.9677342,,,,112.4358809,,,114.3931939
190,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
191,,,,110.9677342,,,,112.4358809,,,114.3931939
192,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
193,,,,110.9677342,,,,112.4358809,,,114.3931939
194,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
195,,,,110.9677342,,,,112.4358809,,,114.3931939
196,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
197,,,,110.9677342,,,,112.4358809,,,114.3931939
198,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
199,,,,110.9677342,,,,112.4358809,,,114.3931939
200,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
201,,,,110.9677342,,,,112.4358809,,,114.3931939
202,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
203,,,,110.9677342,,,,112.4358809,,,114.3931939
204,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
205,,,,110.9677342,,,,112.4358809,,,114.3931939
206,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
207,,,,110.9677342,,,,112.4358809,,,114.3931939
208,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
209,,,,110.9677342,,,,112.4358809,,,114.3931939
210,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
211,,,,110.9677342,,,,112.4358809,,,114.3931939
212,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
213,,,,110.9677342,,,,112.4358809,,,114.3931939
214,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
215,,,,110.9677342,,,,112.4358809,,,114.3931939
216,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
217,,,,110.9677342,,,,112.4358809,,,114.3931939
218,,,,110.9677342,,,,112.4358809,,121.0910845,114.3931939
219,,,,110.9677342,,,,112.4358809,,,114.3931939
220,,,,,,,,,,121.0910845,
222,,,,,,,,,,121.0910845,
224,,,,,,,,,,121.0910845,
226,,,,,,,,,,121.0910845,
228,,,,,,,,,,121.0910845,
230,,,,,,,,,,121.0910845,
232,,,,,,,,,,121.0910845,
234,,,,,,,,,,121.0910845,
236,,,,,,,,,,115.8861522,
238,,,,,,,,,,115.8861522,
240,,,,,,,,,,115.8861522,
242,,,,,,,,,,115.8861522,
244,,,,,,,,,,115.8861522,
246,,,,,,,,,,115.8861522,
248,,,,,,,,,,115.8861522,
250,,,,,,,,,,115.8861522,
252,,,,,,,,,,115.8861522,
254,,,,,,,,,,115.8861522,
256,,,,,,,,,,115.8861522,
258,,,,,,,,,,115.8861522,
260,,,,,,,,,,115.8861522,
262,,,,,,,,,,115.8861522,
264,,,,,,,,,,115.8861522,
266,,,,,,,,,,115.8861522,
268,,,,,,,,,,115.8861522,
270,,,,,,,,,,115.8861522,
272,,,,,,,,,,115.8861522,
274,,,,,,,,,,115.8861522,
276,,,,,,,,,,115.8861522,
278,,,,,,,,,,115.8861522,
280,,,,,,,,,,115.8861522,
282,,,,,,,,,,115.8861522,
284,,,,,,,,,,115.8861522,
286,,,,,,,,,,115.8861522,
288,,,,,,,,,,115.8861522,
290,,,,,,,,,,115.8861522,
292,,,,,,,,,,115.8861522,
294,,,,,,,,,,115.8861522,
296,,,,,,,,,,115.8861522,
298,,,,,,,,,,115.8861522,
300,,,,,,,,,,115.8861522,
302,,,,,,,,,,115.8861522,
304,,,,,,,,,,115.8861522,
306,,,,,,,,,,115.8861522,
308,,,,,,,,,,115.8861522,
310,,,,,,,,,,115.8861522,
312,,,,,,,,,,115.8861522,
314,,,,,,,,,,115.8861522,
316,,,,,,,,,,115.8861522,
318,,,,,,,,,,115.8861522,
320,,,,,,,,,,115.8861522,
322,,,,,,,,,,115.8861522,
324,,,,,,,,,,115.8861522,
326,,,,,,,,,,115.8861522,
328,,,,,,,,,,115.8861522,
330,,,,,,,,,,115.8861522,
332,,,,,,,,,,115.8861522,
334,,,,,,,,,,115.8861522,
336,,,,,,,,,,115.8861522,
338,,,,,,,,,,115.8861522,
340,,,,,,,,,,115.8861522,
342,,,,,,,,,,115.8861522,
344,,,,,,,,,,115.8861522,
346,,,,,,,,,,115.8861522,
348,,,,,,,,,,115.8861522,
350,,,,,,,,,,115.8861522,
352,,,,,,,,,,115.8861522,
354,,,,,,,,,,115.8861522,
356,,,,,,,,,,115.8861522,
358,,,,,,,,,,115.8861522,
360,,,,,,,,,,115.8861522,
362,,,,,,,,,,115.8861522,
364,,,,,,,,,,115.8861522,
366,,,,,,,,,,115.8861522,
368,,,,,,,,,,115.8861522,
370,,,,,,,,,,115.8861522,
372,,,,,,,,,,115.8861522,
374,,,,,,,,,,115.8861522,
376,,,,,,,,,,115.8861522,
378,,,,,,,,,,115.8861522,
380,,,,,,,,,,115.8861522,
382,,,,,,,,,,115.8861522,
384,,,,,,,,,,115.8861522,
386,,,,,,,,,,115.8861522,
388,,,,,,,,,,115.8861522,
390,,,,,,,,,,115.8861522,
392,,,,,,,,,,115.8861522,
394,,,,,,,,,,115.8861522,
396,,,,,,,,,,115.8861522,
398,,,,,,,,,,115.8861522,
400,,,,,,,,,,115.8861522,
402,,,,,,,,,,115.8861522,
404,,,,,,,,,,115.8861522,
406,,,,,,,,,,115.8861522,
408,,,,,,,,,,115.8861522,
410,,,,,,,,,,115.8861522,
412,,,,,,,,,,115.8861522,
414,,,,,,,,,,115.8861522,
416,,,,,,,,,,115.8861522,
418,,,,,,,,,,115.8861522,
420,,,,,,,,,,115.8861522,
422,,,,,,,,,,115.8861522,
424,,,,,,,,,,115.8861522,
426,,,,,,,,,,115.8861522,
428,,,,,,,,,,115.8861522,
430,,,,,,,,,,115.8861522,
432,,,,,,,,,,115.8861522,
434,,,,,,,,,,115.8861522,